image,y_true,yolo11_pred,yolo26_pred,yolo11_n_roi,yolo26_n_roi,yolo11_error,yolo26_error
adnansetlc100009_frame000058.png,1,1,0,1,0,,
adnansetlc106001_frame000082.png,1,1,0,4,0,,
adnansetlc110007_frame000000.png,1,1,0,1,0,,
adnansetlc111002_frame000034.png,1,1,0,1,0,,
adnansetlc111002_frame000037.png,1,1,0,1,0,,
adnansetlc125001_frame000024.png,1,1,0,4,0,,
adnansetlc125003_frame000090.png,1,1,0,4,0,,
adnansetlc156002_frame000124.png,1,1,0,1,0,,
adnansetlc159001_frame000061.png,1,1,0,1,0,,
adnansetlc163003_frame000027.png,1,1,0,1,0,,
adnansetlc163003_frame000049.png,1,1,0,1,0,,
adnansetlc163003_frame000084.png,1,1,0,1,0,,
adnansetlc163003_frame000129.png,1,1,0,1,0,,
adnansetlc164007_frame000032.png,0,0,1,0,1,,
adnansetlc56010_frame000000.png,1,1,0,1,0,,
adnansetlc56010_frame000032.png,1,1,0,1,0,,
adnansetlc56010_frame000057.png,1,1,0,1,0,,
adnansetlc56010_frame000110.png,1,1,0,1,0,,
adnansetlc57007_frame000073.png,0,0,1,0,2,,
adnansetlc64001_frame000097.png,1,1,0,2,0,,
adnansetlc64004_frame000000.png,1,1,0,2,0,,
adnansetlc88002_frame000000.png,1,1,0,4,0,,
adnansetlc88002_frame000121.png,1,1,0,2,0,,
adnansetlc88002_frame000141.png,1,1,0,2,0,,
adnansetlc89003_frame000046.png,1,1,0,4,0,,
adnansetlc9010_frame000059.png,0,1,0,1,0,,
cholec80video02003_frame000041.png,1,1,0,1,0,,
cholec80video19007_frame000021.png,1,1,0,2,0,,
cholec80video22004_frame000070.png,0,0,1,0,1,,
cholec80video33004_frame000000.png,1,1,0,1,0,,
cholec80video50003_frame000090.png,0,0,1,0,1,,
cholec80video55003_frame000019.png,1,1,0,1,0,,
cholec80video55003_frame000072.png,1,0,1,0,1,,
cholec80video58006_frame000000.png,1,1,0,2,0,,
cholec80video58006_frame000124.png,1,1,0,1,0,,
cholec80video60006_frame000000.png,1,0,1,0,1,,
cholec80video60006_frame000055.png,1,1,0,1,0,,
cholec80video61007_frame000023.png,1,1,0,2,0,,
cholec80video66009_frame000011.png,1,1,0,1,0,,
cholec80video70009_frame000059.png,1,0,1,0,2,,
hokkaidosetlc1007_frame000086.png,1,1,0,1,0,,
m2ccai2016video104009_frame000068.png,1,1,0,4,0,,
m2ccai2016video104009_frame000097.png,1,1,0,4,0,,
m2ccai2016video104009_frame000140.png,1,1,0,4,0,,
m2ccai2016video104009_frame000149.png,1,1,0,1,0,,
m2ccai2016video106007_frame000073.png,0,0,1,0,1,,
m2ccai2016video81003_frame000089.png,1,1,0,1,0,,
utswsetcase6002_frame000121.png,0,1,0,2,0,,
