image,y_true,yolo11_pred,yolo26_pred,yolo11_n_roi,yolo26_n_roi,yolo11_error,yolo26_error
adnansetlc100009_frame000058.png,1,1,0,1,0,,
adnansetlc106001_frame000082.png,1,1,0,1,0,,
adnansetlc106001_frame000150.png,1,1,0,2,0,,
adnansetlc120007_frame000068.png,0,1,0,2,0,,
adnansetlc125001_frame000024.png,1,0,1,0,2,,
adnansetlc125001_frame000150.png,1,1,0,4,0,,
adnansetlc126005_frame000032.png,1,1,0,2,0,,
adnansetlc145002_frame000005.png,0,1,0,1,0,,
adnansetlc145010_frame000034.png,0,1,0,2,0,,
adnansetlc156002_frame000000.png,1,1,0,1,0,,
adnansetlc156002_frame000058.png,1,1,0,1,0,,
adnansetlc163003_frame000049.png,1,1,0,4,0,,
adnansetlc163003_frame000084.png,1,0,1,0,1,,
adnansetlc163003_frame000129.png,1,1,0,1,0,,
adnansetlc164007_frame000032.png,0,1,0,1,0,,
adnansetlc33007_frame000150.png,1,0,1,1,2,,
adnansetlc51008_frame000108.png,0,1,0,1,0,,
adnansetlc56010_frame000150.png,1,1,0,1,0,,
adnansetlc64001_frame000097.png,1,1,0,2,0,,
adnansetlc64004_frame000000.png,1,1,0,4,0,,
adnansetlc78001_frame000035.png,0,1,0,2,1,,
adnansetlc78006_frame000003.png,0,1,0,2,0,,
adnansetlc78007_frame000000.png,1,1,0,1,0,,
adnansetlc88002_frame000000.png,1,1,0,2,1,,
adnansetlc88002_frame000141.png,1,1,0,2,0,,
adnansetlc9010_frame000009.png,1,1,0,1,0,,
cholec80video02003_frame000041.png,1,1,0,1,0,,
cholec80video19007_frame000021.png,1,1,0,1,0,,
cholec80video19007_frame000049.png,0,0,1,0,1,,
cholec80video22004_frame000000.png,1,1,0,2,0,,
cholec80video22004_frame000070.png,0,1,0,1,0,,
cholec80video22010_frame000054.png,1,1,0,2,0,,
cholec80video26008_frame000000.png,1,1,0,1,0,,
cholec80video29007_frame000023.png,0,1,0,2,0,,
cholec80video55003_frame000019.png,1,1,0,1,0,,
cholec80video55003_frame000098.png,1,1,0,1,0,,
cholec80video60006_frame000055.png,1,1,0,1,0,,
cholec80video60006_frame000124.png,1,1,0,1,0,,
cholec80video61007_frame000023.png,1,1,0,3,0,,
hokkaidosetlc1007_frame000086.png,1,1,0,1,0,,
m2ccai2016video104009_frame000140.png,1,1,0,2,0,,
m2ccai2016video104009_frame000149.png,1,1,0,1,0,,
m2ccai2016video106007_frame000073.png,0,0,1,0,1,,
m2ccai2016video81003_frame000089.png,1,1,0,1,0,,
m2ccai2016video94002_frame000067.png,1,1,0,6,0,,
utswsetcase6002_frame000121.png,0,1,0,1,0,,
utswsetcase7010_frame000007.png,1,1,0,1,0,,
utswsetcase9007_frame000149.png,1,1,0,4,0,,
