epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2184,0.86306,1.95676,5.98154,0.00863,8.01755,0.80626,0.12685,0.11408,0.09361,0.80542,0.12601,0.11241,0.08436,0.72229,1.21982,6.11909,0.01161,0,0.000132593,0.000132593,0.000132593
2,97.8765,0.80713,1.31902,4.14295,0.00769,4.11056,0.84989,0.17373,0.19424,0.16342,0.84918,0.17331,0.19328,0.14913,0.69008,1.10445,4.91699,0.01096,0,0.000262829,0.000262829,0.000262829
3,135.961,0.81702,1.27165,3.20623,0.00783,2.62959,0.68337,0.21982,0.23443,0.1928,0.68302,0.21948,0.23422,0.17368,0.69414,1.15626,3.56546,0.0112,0,0.000389959,0.000389959,0.000389959
4,172.978,0.79977,1.23922,2.51588,0.00752,2.22234,0.60889,0.28902,0.26522,0.21794,0.60823,0.28797,0.26343,0.20291,0.70326,1.06548,2.66528,0.01132,0,0.000386024,0.000386024,0.000386024
5,210.454,0.77438,1.18137,1.98775,0.00717,1.7412,0.662,0.30444,0.32486,0.2713,0.65962,0.30482,0.32236,0.24609,0.69228,1.08271,2.17427,0.01102,0,0.000381365,0.000381365,0.000381365
6,248.011,0.77194,1.14969,1.71864,0.00722,1.3397,0.69753,0.36752,0.35851,0.29918,0.69653,0.36717,0.35718,0.28192,0.70226,1.03662,1.80398,0.01144,0,0.000376706,0.000376706,0.000376706
7,285.5,0.75916,1.14293,1.50583,0.00706,1.14096,0.53719,0.43495,0.43256,0.3628,0.53715,0.43481,0.43138,0.33587,0.6812,1.04081,1.5888,0.01074,0,0.000372047,0.000372047,0.000372047
8,323.129,0.74461,1.15553,1.36361,0.00694,0.76726,0.75087,0.36813,0.47241,0.38673,0.75024,0.36663,0.47068,0.36491,0.67577,1.04922,1.43031,0.01066,0,0.000367388,0.000367388,0.000367388
9,360.556,0.7446,1.14682,1.25805,0.00689,0.48455,0.6628,0.46498,0.49841,0.41426,0.66199,0.46393,0.49614,0.37657,0.65469,1.04606,1.33115,0.01025,0,0.000362729,0.000362729,0.000362729
10,397.994,0.73852,1.1059,1.162,0.00696,0.29805,0.6835,0.50353,0.48216,0.4066,0.68314,0.50315,0.48053,0.37313,0.67915,1.04302,1.17414,0.01083,0,0.000358071,0.000358071,0.000358071
11,435.781,0.74785,1.13306,1.07582,0.00691,0.24059,0.6538,0.48117,0.55703,0.46116,0.65219,0.4794,0.55505,0.42902,0.69327,1.03066,1.12678,0.01154,0,0.000353412,0.000353412,0.000353412
12,473.711,0.74069,1.09928,1.00463,0.00679,0.22912,0.70983,0.52764,0.52055,0.44001,0.70987,0.52771,0.52041,0.40695,0.65555,1.03233,1.05586,0.01045,0,0.000348753,0.000348753,0.000348753
13,511.44,0.71237,1.06877,0.94304,0.00639,0.21655,0.69387,0.55988,0.58448,0.50016,0.69233,0.55972,0.58187,0.46183,0.64908,1.00989,0.99084,0.01034,0,0.000344094,0.000344094,0.000344094
14,549.431,0.7162,1.05979,0.90509,0.00657,0.20555,0.55934,0.54811,0.5245,0.44451,0.55818,0.5468,0.52237,0.41046,0.63535,0.98807,0.93686,0.00997,0,0.000339435,0.000339435,0.000339435
15,587.364,0.72034,1.08583,0.89433,0.00655,0.20608,0.54554,0.5729,0.59426,0.50041,0.54481,0.57206,0.59281,0.47299,0.6568,1.00282,0.91029,0.01042,0,0.000334776,0.000334776,0.000334776
16,625.415,0.69996,1.04927,0.82115,0.00621,0.18739,0.70889,0.59718,0.58098,0.48753,0.70712,0.59585,0.57891,0.44472,0.63266,0.9931,0.88834,0.01002,0,0.000330118,0.000330118,0.000330118
17,663.703,0.69526,1.064,0.83206,0.00631,0.19504,0.74053,0.61953,0.63453,0.53589,0.74058,0.61956,0.63352,0.48708,0.63362,1.00628,0.83615,0.00995,0,0.000325459,0.000325459,0.000325459
18,701.646,0.6917,1.03804,0.77675,0.00617,0.1858,0.70884,0.5812,0.61388,0.52149,0.70839,0.58078,0.61301,0.47623,0.6389,1.04288,0.80942,0.00998,0,0.0003208,0.0003208,0.0003208
19,739.651,0.684,1.05217,0.75523,0.00614,0.18331,0.76941,0.57414,0.61806,0.53016,0.7686,0.57333,0.61528,0.4758,0.63159,1.02539,0.80256,0.00993,0,0.000316141,0.000316141,0.000316141
20,777.739,0.6885,1.03144,0.75585,0.00613,0.18411,0.6948,0.65893,0.66918,0.56036,0.694,0.65803,0.66761,0.52381,0.64581,1.00921,0.81186,0.01019,0,0.000311482,0.000311482,0.000311482
21,815.615,0.67992,1.01234,0.70788,0.00608,0.17144,0.70754,0.60074,0.61598,0.5337,0.70611,0.59991,0.61291,0.47475,0.60333,1.02892,0.77435,0.00932,0,0.000306824,0.000306824,0.000306824
22,853.994,0.68496,1.0247,0.69455,0.00606,0.15509,0.74249,0.57464,0.61227,0.51755,0.74128,0.57359,0.61058,0.47273,0.62051,1.0181,0.79923,0.00994,0,0.000302165,0.000302165,0.000302165
23,892.117,0.65713,1.00455,0.6804,0.0058,0.1626,0.68997,0.60332,0.58148,0.49207,0.6895,0.60294,0.58077,0.45609,0.63342,1.00543,0.80623,0.01006,0,0.000297506,0.000297506,0.000297506
24,930.049,0.64859,1.00611,0.64926,0.0058,0.15567,0.64199,0.57689,0.63487,0.54566,0.64156,0.57647,0.63302,0.50148,0.62339,0.99402,0.77612,0.0097,0,0.000292847,0.000292847,0.000292847
25,968.02,0.65629,1.00706,0.6523,0.00578,0.15216,0.66616,0.6121,0.63947,0.54033,0.66385,0.60907,0.63818,0.50058,0.62107,1.00303,0.75488,0.00999,0,0.000288188,0.000288188,0.000288188
26,1005.83,0.65424,1.00185,0.62748,0.00583,0.14096,0.62354,0.60538,0.60901,0.51982,0.62292,0.60479,0.60666,0.47506,0.60419,1.00511,0.78671,0.00957,0,0.000283529,0.000283529,0.000283529
27,1043.7,0.64993,0.99197,0.63177,0.00579,0.15025,0.60465,0.61188,0.62269,0.52119,0.6032,0.61036,0.6219,0.47607,0.60618,0.98975,0.75054,0.00956,0,0.000278871,0.000278871,0.000278871
